"CBS_square","x","y","Population","nearest_SP_straightline","dist_straightline_km","nearest_SP_network","dist_network_km","detour_factor"
"E1795N3170",104405.0833,42640.61,340,2096,2.89741591402389,2096,0.4375886188,0.151027202094809
"E1795N3175",104405.0833,47259.775,250,2096,4.23992282563774,2096,0.46571523576,0.109840498261888
"E1795N3180",104405.0833,51878.94,5,2096,8.38046793146653,2096,0.925026664482,0.110378880039474
"E1795N3185",104405.0833,56498.105,665,5820,8.2665778184303,5820,1.052641463486,0.127337029494737
"E1795N3190",104405.0833,61117.27,865,5820,6.29743166140284,5820,0.675657106766,0.107290899384764
"E1795N3195",104405.0833,65736.435,530,5820,7.32477664003237,5820,0.955803942045,0.130489158784885
"E1795N3200",104405.0833,70355.6,40,5820,10.5033533082125,7229,4.926183259641,0.469010525980235
"E1795N3205",104405.0833,74974.765,955,5820,14.479705770573,5820,2.405610274005,0.166136682065316
"E1795N3210",104405.0833,79593.93,385,5820,18.7530450402605,5820,2.712568075571,0.144646806411836
"E1795N3215",104405.0833,84213.095,120,5820,23.1595528444779,5820,3.172576320415,0.136987805495194
"E1795N3220",104405.0833,88832.26,475,5820,27.6356011012017,5820,4.315923845409,0.15617260611065
"E1800N3150",111599.9999,24163.95,NA,1204,17.7035803124707,417,2.09907064245,0.11856757816222
"E1800N3160",111599.9999,33402.28,75,1204,13.3784417080615,2096,1.642405551332,0.122765086336051
"E1800N3165",111599.9999,38021.445,25,2096,11.4329008724131,2096,1.285961814642,0.112479048755242
"E1800N3175",111599.9999,47259.775,NA,2096,10.3538256186313,2096,1.864508824637,0.180079218379137
"E1800N3180",111599.9999,51878.94,NA,2096,12.627628523361,2096,1.856354684584,0.147007387899459
"E1800N3190",111599.9999,61117.27,NA,5820,13.4654727761226,5820,1.52317220697,0.11311687545579
"E1800N3200",111599.9999,70355.6,NA,5820,15.87393279158,5820,1.772647173575,0.111670321202019
"E1800N3205",111599.9999,74974.765,130,5820,18.7436173338239,5820,2.326695208485,0.124132666979193
"E1800N3210",111599.9999,79593.93,110,5820,22.2112136056655,5820,4.403416078994,0.198251935133828
"E1800N3215",111599.9999,84213.095,720,5820,26.0389362207949,5820,3.676147511301,0.141178866914125
"E1800N3220",111599.9999,88832.26,1125,5820,30.0896620083908,5820,4.204319480591,0.139726377764515
"E1800N3225",111599.9999,93451.425,20,5820,34.2844380243023,5820,4.1777701201,0.121856164512267
"E1805N3130",118794.9166,5687.29,NA,284,22.1606758529214,284,2.325741694285,0.104949041704357
"E1805N3150",118794.9166,24163.95,15,657,11.9758002949221,657,1.440998545225,0.120325866308576
"E1805N3160",118794.9166,33402.28,95,657,13.4996807436234,657,1.370152927033,0.101495209631546
"E1805N3165",118794.9166,38021.445,10,657,16.2991481314019,657,1.808502483573,0.110956871426228
